,name,genres,minimum,recommended,release_date,developer,publisher,overall_player_rating,reviews,english_reviews
129,NBA 2K25,"['Sports', 'Basketball', 'Simulation', 'eSports', '3D', 'Immersive Sim', 'Management', 'PvP', 'Character Customization', 'Controller', 'Deckbuilding', 'Team-Based', 'Trading', 'Co-op', 'Local Co-Op', 'Local Multiplayer', 'Multiplayer', 'Online Co-Op', 'Singleplayer', '4 Player Local']","['Requires a 64-bit processor and operating system', 'OS: Windows 10 64-Bit (latest update)', 'Processor: Intel® Core™ i3-9100 or AMD Ryzen™ 3 1200', 'Memory: 8 GB RAM', 'Graphics: NVIDIA® GeForce® GTX 960 4 GB or AMD Radeon™ RX 570 4 GB or Intel® Arc™ A580', 'DirectX: Version 12', 'Network: Broadband Internet connection', 'Storage: 150 GB available space', 'Additional Notes: SSD Required.  Dual-analog Gamepad recommended.  Initial installation requires one-time internet connection for Steam authentication; software installations required (included with the game) include DirectX and Visual C++ Redistributable 2019.  In order to play NBA 2K25 on PC, you need a processor capable of supporting AVX2 and a graphics card capable of supporting DirectX feature level 12.0.']","['Requires a 64-bit processor and operating system', 'OS: Windows 10 64-Bit (latest update)', 'Processor: Intel® Core™ i5-10600 or AMD Ryzen™ 5 3600X', 'Memory: 16 GB RAM', 'Graphics: NVIDIA® GeForce® RTX 2070 8 GB or AMD Radeon™ RX 5700 8 GB or Intel® Arc™ A770', 'DirectX: Version 12', 'Network: Broadband Internet connection', 'Storage: 150 GB available space', 'Additional Notes: SSD Required.  Dual-analog Gamepad recommended.  Initial installation requires one-time internet connection for Steam authentication; software installations required (included with the game) include DirectX and Visual C++ Redistributable 2019.  In order to play NBA 2K25 on PC, you need a processor capable of supporting AVX2 and a graphics card capable of supporting DirectX feature level 12.0.']","3 Sep, 2024",['Visual Concepts'],['2K'],5.0,"(57% of 4,031) All Time","2,128"
130,TCG Card Shop Simulator,"['Simulation', 'Management', 'Collectathon', 'Economy', 'Capitalism', 'Singleplayer', 'Early Access', 'Immersive Sim', 'Trading Card Game', 'Trading', 'Life Sim', '3D', 'First-Person', 'Card Game', 'Relaxing', 'Casual', 'Multiplayer']","['OS: Windows (64-bit) 10', 'Processor: Intel Core i5-3550', 'Memory: 8 GB RAM', 'Graphics: NVidia GeForce GTX 1050', 'DirectX: Version 11', 'Storage: 5 GB available space']","['OS: Windows (64-bit) 10', 'Processor: Intel Core i5-6400', 'Memory: 8 GB RAM', 'Graphics: NVidia GeForce GTX 1070', 'DirectX: Version 11', 'Storage: 5 GB available space']","15 Sep, 2024",['OPNeon Games'],['OPNeon Games'],1.0,"(96% of 3,122) All Time","2,082"
131,The Sims™ 4,"['Life Sim', 'Character Customization', 'Building', 'Free to Play', 'Multiplayer', 'Romance', 'Sandbox', 'Simulation', 'Singleplayer', 'Relaxing', 'Dating Sim', 'Casual', 'Realistic', 'Funny', 'Cute', 'Family Friendly', 'Immersive Sim', 'Fantasy', 'Adventure', 'Cartoony']","['Requires a 64-bit processor and operating system', 'OS: 64 Bit Required. Windows 10', 'Processor: 3.3 GHz Intel Core i3-3220 (2 cores, 4 threads), AMD Ryzen 3 1200 3.1 GHz (4 cores) or better', 'Memory: 4 GB RAM', 'Graphics: 128 MB of Video RAM and support for Pixel Shader 3.0. Supported Video Cards: NVIDIA GeForce 6600 or better, ATI Radeon X1300 or better, Intel GMA X4500 or better', 'DirectX: Version 11', 'Network: Broadband Internet connection', 'Storage: 26 GB available space']","['Requires a 64-bit processor and operating system', 'OS: 64 Bit Windows 10', 'Processor: Intel core i5 (4 cores), AMD Ryzen 5 or better', 'Memory: 8 GB RAM', 'Graphics: 1 GB of Video RAM, NVIDIA GTX 650, AMD Radeon HD 7750, or better', 'DirectX: Version 11', 'Network: Broadband Internet connection', 'Storage: 51 GB available space']","2 Sep, 2014",['Maxis'],['Electronic Arts'],2.0,"(149,708)","79,309"
132,War Thunder,"['Simulation', 'Free to Play', 'Vehicular Combat', 'Combat', 'World War II', 'VR', 'Flight', 'War', 'Military', 'Tanks', 'Naval Combat', 'Multiplayer', 'Massively Multiplayer', 'Modern', 'Cold War', 'Action', 'Realistic', 'Shooter', 'Third Person', 'Third-Person Shooter']","['OS: Windows 10 (64bit)', 'Processor: Dual-Core 2.2 GHz', 'Memory: 4 GB RAM', 'Graphics: DirectX 10.1 level video card: AMD Radeon 77XX / NVIDIA GeForce GTX 660. The minimum supported resolution for the game is 720p.', 'DirectX: Version 11', 'Network: Broadband Internet connection', 'Storage: 40 GB available space', 'VR Support: SteamVR. Keyboard or gamepad required']","['OS: Windows 10/11 (64bit)', 'Processor: Intel Core i5 or Ryzen 5 3600 or better', 'Memory: 16 GB RAM', 'Graphics: DirectX 11 level video card or higher and drivers: Nvidia GeForce 1060 and higher, Radeon RX 570 and higher', 'DirectX: Version 12', 'Network: Broadband Internet connection', 'Storage: 95 GB available space']","15 Aug, 2013",['Gaijin Entertainment'],['Gaijin Network Ltd'],3.0,"(543,497)","231,369"
133,Euro Truck Simulator 2,"['Driving', 'Transportation', 'Simulation', 'Open World', 'Automobile Sim', 'Realistic', 'Moddable', 'Relaxing', 'Exploration', 'Immersive Sim', 'Economy', 'Management', 'Atmospheric', 'Multiplayer', 'Controller', 'Family Friendly', 'Third Person', 'Adventure', 'Casual', 'Indie']","['OS: Windows 10 64-bit', 'Processor: Intel Core i5-6400 or AMD Ryzen 3 1200 or similar', 'Memory: 8 GB RAM', 'Graphics: NVIDIA GeForce GTX 660 or AMD Radeon RX 460 or Intel HD 630 (2GB VRAM)', 'Hard Drive: 25 GB available space (Euro Truck Simulator 2 base game)']","['OS: Windows 10 64-bit', 'Processor: Intel Core i5-9600 or AMD Ryzen 5 3600 or similar', 'Memory: 12 GB RAM', 'Graphics: NVIDIA GeForce GTX 1660 or AMD Radeon RX 590 (2GB VRAM)', 'Hard Drive: 25 GB available space (Euro Truck Simulator 2 base game)']","18 Oct, 2012",['SCS Software'],['SCS Software'],1.0,"(597,844)","152,873"
134,Anno 1800,"['City Builder', 'Strategy', 'Simulation', 'Economy', 'Multiplayer', 'Resource Management', 'Sandbox', 'RTS', 'Exploration', 'Singleplayer', 'Management', 'Co-op', 'Historical', 'Political', 'Building', 'Choose Your Own Adventure', 'Politics', 'Choices Matter', 'Story Rich', 'Multiple Endings']","['Requires a 64-bit processor and operating system', 'OS: Windows 10(64-bit versions only)', 'Processor: Intel i5 3470, AMD FX 6350', 'Memory: 8 GB RAM', 'Graphics: NVIDIA GeForce 670 GTX or AMD Radeon R9 285 (2 GB of VRAM, Shader Model 5.0)', 'DirectX: Version 11', 'Storage: 60 GB available space']","['Requires a 64-bit processor and operating system', 'OS: Windows 10(64-bit versions only)', 'Processor: Intel i5 4690k, AMD Ryzen 5 1400', 'Memory: 8 GB RAM', 'Graphics: NVIDIA GeForce 970 GTX or AMD Radeon RX 480 (4 GB of VRAM, Shader Model 5.1)', 'DirectX: Version 12', 'Storage: 60 GB available space']",Apr 2019,['Ubisoft Mainz'],['Ubisoft'],2.0,"(16,958)","7,755"
135,American Truck Simulator,"['Automobile Sim', 'Driving', 'Open World', 'Transportation', 'Simulation', 'America', 'Realistic', 'Moddable', 'Relaxing', 'Exploration', 'Economy', 'Management', 'Atmospheric', 'Immersive Sim', 'Multiplayer', 'Singleplayer', 'Adventure', 'Casual', 'Family Friendly', 'Level Editor']","['OS: Windows  10 64-bit', 'Processor: Intel Core i5-6400 or AMD Ryzen 3 1200 or similar', 'Memory: 8 GB RAM', 'Graphics: NVIDIA GeForce GTX 660 or AMD Radeon RX 460 or Intel HD 630 (2GB VRAM)', 'Storage: 25 GB available space', 'Additional Notes: Disk Space for American Truck Simulator base game']","['OS: Windows 10 64-bit', 'Processor: Intel Core i5-9600 or AMD Ryzen 5 3600 or similar', 'Memory: 12 GB RAM', 'Graphics: NVIDIA GeForce GTX 1660 or AMD Radeon RX 590 (2GB VRAM)', 'Storage: 25 GB available space', 'Additional Notes: Disk Space for American Truck Simulator base game']","2 Feb, 2016",['SCS Software'],['SCS Software'],1.0,"(131,247)","88,406"
136,Yu-Gi-Oh! Master Duel,"['Card Game', 'Free to Play', 'Strategy', 'Trading Card Game', 'Multiplayer', 'PvP', 'Card Battler', 'Anime', 'Simulation', 'Turn-Based Tactics', 'Tactical', 'Singleplayer', 'eSports', 'Dragons', 'Fantasy', 'PvE', '3D', '2D', 'Great Soundtrack', 'Sexual Content']","['Requires a 64-bit processor and operating system', 'OS: Windows 10 Home (64bit) latest revision', 'Processor: Intel Core i5-7300U', 'Memory: 8 GB RAM', 'Graphics: Intel(R) HD Graphics 620', 'DirectX: Version 11', 'Network: Broadband Internet connection', 'Storage: 16 GB available space', 'Sound Card: On Board', 'Additional Notes: 1280 x 720 monitor resolution']","['Requires a 64-bit processor and operating system', 'OS: Windows 10 Home (64bit) latest revision', 'Processor: Intel Core i5-9400F', 'Memory: 8 GB RAM', 'Graphics: NVIDIA GeForce GTX 1650', 'DirectX: Version 11', 'Network: Broadband Internet connection', 'Storage: 16 GB available space', 'Sound Card: On Board', 'Additional Notes: 1920 x 1080 monitor resolution']","18 Jan, 2022",['KONAMI'],['KONAMI'],3.0,"(76,889)","40,177"
137,BeamNG.drive,"['Simulation', 'Driving', 'Realistic', 'Physics', 'Destruction', 'Automobile Sim', 'Open World', 'Sandbox', 'Racing', 'Moddable', 'Multiplayer', 'Singleplayer', 'Early Access', 'First-Person', 'Third Person', 'Funny', 'Exploration', 'Action', 'Adventure', 'Flight']","['Requires a 64-bit processor and operating system', 'OS *: Windows 7 Service Pack 1 64-bit', 'Processor: AMD FX 6300 3.5Ghz / Intel Core i3-6300 3.8Ghz', 'Memory: 16 GB RAM', 'Graphics: Radeon HD 7750 / Nvidia GeForce GTX 550 Ti', 'DirectX: Version 11', 'Storage: 45 GB available space']","['Requires a 64-bit processor and operating system', 'OS: Windows 10 64 Bit', 'Processor: AMD Ryzen 7 1700 3.0Ghz / Intel Core i7-6700 3.4Ghz (or better)', 'Memory: 32 GB RAM', 'Graphics: AMD R9 290 / Nvidia GeForce GTX 970', 'DirectX: Version 11', 'Storage: 50 GB available space', 'Additional Notes: Recommended spec based on 1080p resolution. Installing game mods will increase required storage space. Gamepad recommended.']","29 May, 2015",['BeamNG'],['BeamNG'],1.0,"(249,828)","153,049"
138,eFootball™,"['Football (Soccer)', 'Free to Play', 'Controller', 'Sports', 'Multiplayer', 'eSports', 'Simulation', 'PvP', 'Local Multiplayer', 'Co-op', 'Singleplayer', 'Online Co-Op', 'Local Co-Op', 'Realistic', 'Comedy', 'Memes', 'Violent', 'LGBTQ+', 'Anime', 'Funny']","['Requires a 64-bit processor and operating system', 'OS: Windows 10 - 64bit / Windows 11 - 64bit', 'Processor: Intel Core i5-2300, / AMD FX-4350', 'Memory: 8 GB RAM', 'Graphics: GeForce GTX 660 Ti / Radeon HD 7790', 'Network: Broadband Internet connection', 'Storage: 50 GB available space']","['Requires a 64-bit processor and operating system', 'OS: Windows 10 - 64bit / Windows 11 - 64bit', 'Processor: Intel Core i5-7600 / AMD Ryzen 5 1600', 'Memory: 8 GB RAM', 'Graphics: GeForce GTX 1060 / AMD Radeon RX 590', 'Network: Broadband Internet connection', 'Storage: 50 GB available space']","29 Sep, 2021",['KONAMI'],['KONAMI'],5.0,"(80,277)","21,184"
139,Two Point Campus,"['Management', 'Simulation', 'Strategy', 'Building', 'City Builder', 'Casual', 'Sandbox', 'Funny', 'Cartoony', 'Isometric', 'Comedy', 'Singleplayer', 'Family Friendly', 'Indie', 'Economy', 'Tactical', 'Replay Value', 'Retro', 'Education', 'Cute']","['Requires a 64-bit processor and operating system', 'OS *: Windows 7 64-bit', 'Processor: Intel Core i3 6100 or AMD FX-4350', 'Memory: 4 GB RAM', 'Graphics: NVIDIA Geforce GT 1030, 2GB (Legacy: NVIDIA GeForce GTX 460), AMD RX550, 2GB (Legacy: AMD Radeon HD 6850), Integrated: Intel HD Graphics 630', 'DirectX: Version 11', 'Storage: 6 GB available space']","['Requires a 64-bit processor and operating system', 'OS: Windows 10  64-bit', 'Processor: Intel Core i5 6600 or AMD Ryzen 1600x', 'Memory: 8 GB RAM', 'Graphics: NVIDIA Geforce GTX 1060, 3 GB (Legacy: NVIDIA Geforce GTX 780, 4GB) or AMD RX 580, 4 GB (Legacy: AMD R9 290X, 4GB)', 'DirectX: Version 11', 'Storage: 6 GB available space']","9 Aug, 2022",['Two Point Studios'],['SEGA'],2.0,"(3,661)","2,522"
140,Assetto Corsa,"['Racing', 'Automobile Sim', 'Simulation', 'Driving', 'Multiplayer', 'Realistic', 'VR', 'Sports', 'Moddable', 'Open World', 'Controller', 'Physics', 'Singleplayer', 'First-Person', 'Replay Value', 'Indie', 'Action', '3D Vision', 'TrackIR', 'Artificial Intelligence']","['OS *: Windows 7 Sp1 - 8 - 8.1 - 10', 'Processor: AMD Athlon X2 2.8 GHZ, Intel Core 2 Duo 2.4 GHZ', 'Memory: 2 GB RAM', 'Graphics: DirectX 10.1 (e.g. AMD Radeon HD 6450, Nvidia GeForce GT 460)', 'DirectX: Version 11', 'Network: Broadband Internet connection', 'Storage: 15 GB available space', 'Sound Card: Integrated', 'VR Support: SteamVR or Oculus PC. Keyboard or gamepad required']","['OS *: Windows 7 Sp1 - 8 - 8.1 - 10', 'Processor: AMD Six-Core CPU, Intel Quad-Core CPU', 'Memory: 6 GB RAM', 'Graphics: DirectX 11 (e.g. AMD Radeon 290x, Nvidia GeForce GTX 970)', 'DirectX: Version 11', 'Network: Broadband Internet connection', 'Storage: 30 GB available space', 'Sound Card: Integrated']","19 Dec, 2014",['Kunos Simulazioni'],['Kunos Simulazioni'],2.0,"(103,905)","58,662"
141,EA SPORTS™ Madden NFL 25,"['Simulation', 'Strategy', 'Football (American)', 'Sports', 'Competitive', 'Gambling', 'NSFW']","['Requires a 64-bit processor and operating system', 'OS: Windows 10 - 64-Bit (Latest Update)', 'Processor: Intel Core i7-6700K (4-cores; 8-threads) or AMD Ryzen 5 1600', 'Memory: 10 GB RAM', 'Graphics: NVIDIA GeForce GTX 1050 Ti 4GB or AMD Radeon RX 570 4GB', 'DirectX: Version 12', 'Network: Broadband Internet connection', 'Storage: 65 GB available space', 'Additional Notes: DirectX 12 compatible video card (feature level 12_0)']","['Requires a 64-bit processor and operating system', 'OS: Windows 10 - 64-Bit (Latest Update)', 'Processor: Intel Core i7-8700K (6-core; 12-thread) or AMD Ryzen 7 2700X', 'Memory: 12 GB RAM', 'Graphics: NVIDIA GeForce RTX 3060 8GB or AMD RX 6600 XT 8GB', 'DirectX: Version 12', 'Network: Broadband Internet connection', 'Storage: 65 GB available space', 'Additional Notes: DirectX 12 compatible video card (feature level 12_0)']","15 Aug, 2024",['Tiburon'],['Electronic Arts'],5.0,(865),949
142,RimWorld,"['Colony Sim', 'Base Building', 'Survival', 'Strategy', 'Sandbox', 'Management', 'Building', 'Simulation', 'Singleplayer', 'Moddable', 'City Builder', 'Open World', 'Procedural Generation', '2D', 'Sci-fi', 'Indie', 'Space', 'Tactical RPG', 'Western', 'Cartoony']","['OS *: Windows 7', 'Processor: Core 2 Duo', 'Memory: 4 GB RAM', 'Graphics: Intel HD Graphics 4000 or other shader model 4.0', 'Storage: 1 GB available space']","['OS *: Windows 7', 'Processor: Core 2 Duo', 'Memory: 4 GB RAM', 'Graphics: Intel HD Graphics 4000 or other shader model 4.0', 'Storage: 1 GB available space']","17 Oct, 2018",['Ludeon Studios'],['Ludeon Studios'],1.0,"(163,874)","117,731"
143,theHunter: Call of the Wild™,"['Hunting', 'Open World', 'Multiplayer', 'Nature', 'Relaxing', 'Stealth', 'Sandbox', 'FPS', 'Simulation', 'Survival', 'Realistic', 'Online Co-Op', 'First-Person', 'America', 'Co-op', 'Walking Simulator', 'Immersive Sim', 'Shooter', 'Sports', 'Controller']","['Requires a 64-bit processor and operating system', 'OS *: 64bit OS - Windows 7', 'Processor: Intel i3-4170', 'Memory: 4 GB RAM', 'Graphics: NVIDIA GTX 660 / ATI HD7870 - 1GB VRAM', 'Storage: 60 GB available space']","['Requires a 64-bit processor and operating system', 'OS: 64bit OS - Windows 10', 'Processor: Intel i7 quad-core', 'Memory: 8 GB RAM', 'Graphics: NVidia GTX 760 / R9 270x - 4GB VRAM', 'Storage: 60 GB available space']","16 Feb, 2017",['Expansive Worlds'],['Expansive Worlds'],2.0,"(136,012)","59,053"
144,Shawarma Legend,"['Simulation', 'Life Sim', 'Time Management', '2D', 'Cartoon', 'Cooking', 'Cartoony', 'Comedy', 'Funny', 'Management', 'Crafting', 'Singleplayer', 'Resource Management']","['OS *: Windows 7 or newer', 'Processor: Intel Pentium 4 or AMD equivalent', 'Memory: 2 GB RAM', 'Graphics: Intel HD Graphics 2000', 'DirectX: Version 10', 'Storage: 250 MB available space']","['OS: Windows 10/11 (64-bit versions)', 'Processor: Intel Core i5-2500 or AMD equivalent', 'Memory: 4 GB RAM', 'Graphics: Intel HD Graphics 3000 or better', 'DirectX: Version 11', 'Storage: 500 MB available space']","19 Jul, 2024",['Eyad Alshafei'],['Patates Games'],2.0,(483),31
145,Stellaris,"['Space', 'Grand Strategy', 'Strategy', 'Sci-fi', '4X', 'Exploration', 'Sandbox', 'Simulation', 'Multiplayer', 'Singleplayer', 'Real-Time with Pause', 'Moddable', 'Diplomacy', 'Management', 'Futuristic', 'Military', 'Replay Value', 'Great Soundtrack', 'Procedural Generation', 'Atmospheric']","['OS: Windows® 10 Home 64 Bit', 'Processor: Intel® iCore™ i3-530 or AMD® FX-6350', 'Memory: 4 GB RAM', 'Graphics: Nvidia® GeForce™ GTX 460 or AMD® ATI Radeon™ HD 5870  (1GB VRAM), or AMD® Radeon™  RX Vega 11 or Intel® HD Graphics 4600', 'DirectX: Version 9.0c', 'Network: Broadband Internet connection', 'Storage: 10 GB available space', 'Sound Card: Direct X 9.0c- compatible sound card', 'Additional Notes: Controller support: 3-button mouse, keyboard and speakers. Special multiplayer requirements: Internet Connection']","['OS: Windows® 10 Home 64 Bit', 'Processor: Intel® iCore™ i5-3570K or AMD® Ryzen™ 5 2400G', 'Memory: 4 GB RAM', 'Graphics: Nvidia® GeForce™ GTX 560 Ti  (1GB VRAM) or AMD® Radeon™ R7 370 (2 GB VRAM)', 'DirectX: Version 12', 'Network: Broadband Internet connection', 'Storage: 10 GB available space', 'Sound Card: DirectX 9.0c-compatible sound card', 'Additional Notes: Controller support: 3-button mouse, keyboard and speakers. Special multiplayer requirements: Internet Connection']","9 May, 2016",['Paradox Development Studio'],['Paradox Interactive'],2.0,"(119,399)","92,442"
146,World of Warships,"['Naval Combat', 'Free to Play', 'Naval', 'World War II', 'Massively Multiplayer', 'Multiplayer', 'Action', 'Tactical', 'PvP', 'Historical', 'Military', 'Online Co-Op', 'Team-Based', 'Simulation', 'Realistic', 'Shooter', 'PvE', 'War', 'Third-Person Shooter', 'Co-op']","['Requires a 64-bit processor and operating system', 'OS *: Windows 7 x64', 'Processor: Intel® Core™ i3-3210 3.2 GHz,  AMD Athlon™ X4 970 Quad Core Processor 3,8 GHz', 'Memory: 6 GB RAM', 'Graphics: 1280×720; NVIDIA® GeForce® GT 640, AMD Radeon™ R7 240, Intel® UHD 630, 2GB VRAM', 'DirectX: Version 11', 'Network: Broadband Internet connection', 'Storage: 61 GB available space', 'Sound Card: DirectX 11', 'Additional Notes: Please note, only game accounts created using Steam version of the game are officially supported due to technical reasons.']","['Requires a 64-bit processor and operating system', 'OS *: Windows 7 x64 / 8.1 / 10 / 11', 'Processor: Intel® Core™ i5-10400 2,9 GHz,  AMD Ryzen 5 3600 3,6 GHz', 'Memory: 8 GB RAM', 'Graphics: 1920×1080; NVIDIA® GeForce® GTX 770, AMD Radeon™ RX 570, 4GB VRAM', 'DirectX: Version 11', 'Network: Broadband Internet connection', 'Storage: 63 GB available space', 'Sound Card: DirectX 11', 'Additional Notes: Please note, only game accounts created using Steam version of the game are officially supported due to technical reasons.']","15 Nov, 2017",['Wargaming Group Limited'],['Wargaming Group Limited'],3.0,"(142,698)","46,302"
147,Assetto Corsa Competizione,"['Racing', 'Automobile Sim', 'Simulation', 'VR', 'Multiplayer', 'Driving', 'Realistic', 'Sports', 'Singleplayer', 'Controller', 'Open World', 'eSports', 'Early Access', 'First-Person', 'Competitive', 'Online Co-Op', 'Atmospheric', 'Moddable', 'Difficult', 'PvP']","['Requires a 64-bit processor and operating system', 'OS: Windows 10 x64 20H2 (October 2020 Update)', 'Processor: Intel Core i5-4460 or AMD FX-8120', 'Memory: 4 GB RAM', 'Graphics: GeForce GTX 750 4GB, Radeon RX 460 4GB', 'DirectX: Version 11', 'Storage: 50 GB available space', 'Sound Card: Integrated', 'VR Support: SteamVR or Oculus PC. Keyboard or gamepad required']","['Requires a 64-bit processor and operating system', 'OS: Windows 10 x64 - 21H2', 'Processor: Intel Core i5-8600K or AMD Ryzen 5 2600X', 'Memory: 16 GB RAM', 'Graphics: GeForce GTX 1070 8 GB, Radeon RX 580 8GB', 'DirectX: Version 11', 'Storage: 50 GB available space', 'Sound Card: Integrated']","29 May, 2019",['Kunos Simulazioni'],['505 Games'],2.0,"(23,536)","15,296"
148,World of Tanks,"['Tanks', 'Free to Play', 'Action', 'Military', 'PvP', 'Vehicular Combat', 'Multiplayer', 'Team-Based', 'Tactical', 'Massively Multiplayer', 'War', 'Historical', 'World War II', 'Simulation', 'Co-op', 'Realistic', 'Shooter', 'Third Person', 'Third-Person Shooter', 'PvE']","['Requires a 64-bit processor and operating system', 'OS *: Windows 7 / 8 / 8.1 / 10 / 11 (64-bit only) with the latest updates', 'Processor: Intel Core i5-3330 / AMD FX-6300', 'Memory: 4 GB RAM', 'Graphics: Nvidia GTX 460 / AMD Radeon HD 8770', 'DirectX: Version 10', 'Network: Broadband Internet connection', 'Storage: 70 GB available space', 'Additional Notes: We will no longer be able to guarantee consistent game performance for players whose hardware does not meet the minimum system requirements, or game client functionality on systems with GPUs that do not have DirectX 11_0 feature level support']","['Requires a 64-bit processor and operating system', 'OS: Windows 10 / 11 (64-bit only) with the latest updates', 'Processor: Intel Core i3-9100F / AMD Ryzen 3 3100', 'Memory: 16 GB RAM', 'Graphics: Nvidia GTX 1650 / AMD Radeon RX 580', 'DirectX: Version 10', 'Network: Broadband Internet connection', 'Storage: 70 GB available space']","28 Apr, 2021",['Wargaming Group Limited'],['Wargaming Group Limited'],2.0,"(79,113)","18,685"
149,Dyson Sphere Program,"['Space', 'Automation', 'Base Building', 'Building', 'Open World', 'Resource Management', 'Simulation', 'Sci-fi', 'Management', 'Sandbox', 'City Builder', 'Strategy', 'Singleplayer', 'Space Sim', '3D', 'Third Person', 'Early Access', 'Indie', 'RTS', 'Multiplayer']","['Requires a 64-bit processor and operating system', 'OS *: Windows 7(64-Bit)', 'Processor: i3-530 2.93GHZ 2 Core', 'Memory: 8 GB RAM', 'Graphics: Dedicated graphics card, GTX 750 Ti 2GB', 'DirectX: Version 11', 'Storage: 5 GB available space', 'Sound Card: DirectX compatible', 'Additional Notes: GPU must support Shader Model 5.0']","['Requires a 64-bit processor and operating system', 'OS: Windows 10(64-Bit)', 'Processor: i9 11900KF8 Core', 'Memory: 32 GB RAM', 'Graphics: Dedicated graphics card, GTX 2070', 'DirectX: Version 11', 'Storage: 20 GB available space', 'Sound Card: DirectX compatible', 'Additional Notes: GPU must support Shader Model 5.0. Display Resolution 1080p +']","20 Jan, 2021",['Youthcat Studio'],['Gamera Games'],1.0,"(73,564)","22,509"
150,Jurassic World Evolution 2,"['Dinosaurs', 'Building', 'Simulation', 'Management', 'Sandbox', 'Strategy', 'Singleplayer', 'City Builder', 'Economy', 'Resource Management', 'Sci-fi', 'Open World', 'Violent', 'Atmospheric', 'Sequel', 'Action', 'Multiplayer', 'Survival', 'Base Building', 'Casual']","['Requires a 64-bit processor and operating system', 'OS: Windows 10 64bit (min version 1809)', 'Processor: Intel i5-4590/AMD FX 8370', 'Memory: 8 GB RAM', 'Graphics: (4GB VRAM) NVIDIA GeForce GTX 1050Ti (Legacy GPU: GeForce GTX 960) / AMD Radeon RX 470', 'DirectX: Version 12', 'Storage: 14 GB available space']","['Requires a 64-bit processor and operating system', 'OS: Windows 10 64bit (min version 1809)', 'Processor: Intel i7-5775C/AMD Ryzen 5 1500X', 'Memory: 12 GB RAM', 'Graphics: (6GB VRAM) NVIDIA GeForce GTX 1070 / AMD RX 570 (8GB)', 'DirectX: Version 12', 'Storage: 14 GB available space']","9 Nov, 2021",['Frontier Developments'],['Frontier Developments'],2.0,"(25,599)","16,002"
151,DCS World Steam Edition,"['Simulation', 'Flight', 'Free to Play', 'Multiplayer', 'Military', 'Realistic', 'VR', 'War', 'Open World', 'Singleplayer', 'Shooter', 'Action', 'Co-op', 'Sandbox', 'TrackIR', 'First-Person', 'Tanks', 'Strategy', 'Massively Multiplayer', 'FPS']","['OS: Windows 10, 11', 'Processor: Intel or AMD 3.0Ghz+ with 4+ cores', 'Memory: 16 GB RAM', 'Graphics: Discrete AMD or NVIDIA 8GB+', 'DirectX: Version 11', 'Storage: 200 GB available space', 'VR Support: SteamVR, Oculus VR', 'Additional Notes: Input: Keyboard / Mouse / Joystick']","['OS: Windows 10, 11', 'Processor: Intel or AMD 4.5Ghz+ with 8+ cores', 'Memory: 32 GB RAM', 'Graphics: Discrete AMD or NVIDIA 8GB+', 'DirectX: Version 11', 'Storage: 500 GB available space', 'VR Support: SteamVR, Oculus VR, OpenXR', 'Additional Notes: Input: Joystick / Pedals / VR / Track IR / Haptic Gloves']","18 Mar, 2018",['Eagle Dynamics SA'],['Eagle Dynamics SA'],2.0,"(34,329)","19,519"
152,American Truck Simulator - Arkansas,"['Simulation', 'Indie', 'Multiplayer']","['OS: Windows  10 64-bit', 'Processor: Intel Core i5-6400 or AMD Ryzen 3 1200 or similar', 'Memory: 8 GB RAM', 'Graphics: NVIDIA GeForce GTX 660 or AMD Radeon RX 460 or Intel HD 630 (2GB VRAM)', 'Storage: 25 GB available space', 'Additional Notes: Disk Space for American Truck Simulator base game']","['OS: Windows 10 64-bit', 'Processor: Intel Core i5-9600 or AMD Ryzen 5 3600 or similar', 'Memory: 12 GB RAM', 'Graphics: NVIDIA GeForce GTX 1660 or AMD Radeon RX 590 (2GB VRAM)', 'Storage: 25 GB available space', 'Additional Notes: Disk Space for American Truck Simulator base game']","16 Sep, 2024",['SCS Software'],['SCS Software'],2.0,(87% of 143) All Time,89
153,Train Sim World® 5,"['Simulation', 'Adventure', 'Automobile Sim', 'Immersive Sim', 'First-Person', 'Realistic', 'VR', 'Atmospheric', 'Trains', 'Driving', 'Relaxing', 'Family Friendly', 'Transportation', 'Open World', 'Physics', 'Singleplayer', 'Story Rich']","['OS *: 64-bit Windows 8.1, 10 or Windows 11', 'Processor: Intel Core i5-4690 @ 3.5 GHz or AMD Ryzen 5 1500X @ 3.7 GHz', 'Memory: 8 GB RAM', 'Graphics: NVIDIA GeForce GTX 750 Ti or AMD Radeon RX 460 with 2 GB VRAM or more', 'DirectX: Version 10', 'Network: Broadband Internet connection', 'Storage: 35 GB available space', 'Sound Card: DirectX Compatible', 'Additional Notes: Requires mouse and keyboard or Xbox Controller']","['OS *: 64-bit Windows 8.1, 10 or Windows 11', 'Processor: Intel Core i5-9600K @ 3.7 GHz or AMD Ryzen 5 3600 @ 3.6 GHz', 'Memory: 16 GB RAM', 'Graphics: NVIDIA GeForce RTX 2060 6 GB or AMD Radeon RX 5700 with 8 GB VRAM or more', 'DirectX: Version 10', 'Network: Broadband Internet connection', 'Storage: 80 GB available space', 'Sound Card: DirectX Compatible', 'Additional Notes: Requires mouse and keyboard or Xbox Controller']","17 Sep, 2024",['Dovetail Games'],['Dovetail Games - TSW'],3.0,(75% of 320) All Time,255
